"Country name";"ISO3";"Region";"Region code";"Part of"
"New Zealand";"NZL";"Oceania";"OZ";"NZL"
"Nicaragua";"NIC";"Central America";"CA";
"Niger";"NER";"Africa";"AF";
"Nigeria";"NGA";"Africa";"AF";
"Niue";"NIU";"Oceania";"OZ";"NZL"
"Norfolk Island";"NFK";"Oceania";"OZ";"AUS"
"Northern Mariana Islands";"MNP";"Oceania";"OZ";"USA"
"Norway";"NOR";"Western Europe";"WE";"NOR"
"Oman";"OMN";"Middle East";"ME";
"Pakistan";"PAK";"West Asia";"WA";
"Palau";"PLW";"Oceania";"OZ";"USA"
"Palestinian Territory";"PSE";"Middle East";"ME";
"Panama";"PAN";"Central America";"CA";
"Papua New Guinea";"PNG";"East Asia";"EA";
"Paraguay";"PRY";"South America";"SA";
"Peru";"PER";"South America";"SA";
"Philippines";"PHL";"East Asia";"EA";
"Pitcairn";"PCN";"Oceania";"OZ";"GBR"
"Poland";"POL";"Eastern Europe";"EE";
"Portugal";"PRT";"Western Europe";"WE";
"Puerto Rico";"PRI";"Central America";"CA";"USA"
"Qatar";"QAT";"Middle East";"ME";
"Réunion";"REU";"Africa";"AF";"FRA"
"Romania";"ROU";"Eastern Europe";"EE";
"Russian Federation";"RUS";"Eastern Europe";"EE";
"Rwanda";"RWA";"Africa";"AF";
"Saint Barthélemy";"BLM";"Central America";"CA";"FRA"
"Saint Helena";"SHN";"Africa";"AF";"GBR"
"Saint Kitts and Nevis";"KNA";"Central America";"CA";
"Saint Lucia";"LCA";"Central America";"CA";"GBR"
"Saint Martin";"MAF";"Central America";"CA";"FRA"
"Saint Pierre and Miquelon";"SPM";"North America";"NA";"FRA"
"Saint Vincent and the Grenadines";"VCT";"Central America";"CA";
"Samoa";"WSM";"Oceania";"OZ";
"San Marino";"SMR";"Western Europe";"WE";
"Sao Tome and Principe ";"STP";"Africa";"AF";
"Saudi Arabia";"SAU";"Middle East";"ME";
"Senegal";"SEN";"Africa";"AF";
"Serbia";"SRB";"Eastern Europe";"EE";
"Seychelles";"SYC";"Africa";"AF";
"Sierra Leone";"SLE";"Africa";"AF";
"Singapore";"SGP";"East Asia";"EA";
"Slovakia";"SVK";"Eastern Europe";"EE";
"Slovenia";"SVN";"Eastern Europe";"EE";
"Solomon Islands";"SLB";"Oceania";"OZ";
"Somalia";"SOM";"Africa";"AF";
"South Africa";"ZAF";"Africa";"AF";
"South Georgia and the South Sandwich Islands";"SGS";"Arctic Region";"AR";"GBR"
"Spain";"ESP";"Western Europe";"WE";
"Sri Lanka";"LKA";"West Asia";"WA";
"Sudan";"SDN";"Africa";"AF";
"Suriname";"SUR";"South America";"SA";
"Svalbard and Jan Mayen";"SJM";"Western Europe";"WE";"NOR"
"Swaziland";"SWZ";"Africa";"AF";
"Sweden";"SWE";"Western Europe";"WE";
"Switzerland";"CHE";"Western Europe";"WE";
"Syrian Arab Republic";"SYR";"Middle East";"ME";
"Taiwan";"TWN";"East Asia";"EA";"CHN"
"Tajikistan";"TJK";"West Asia";"WA";
"Tanzania, United Republic of";"TZA";"Africa";"AF";
"Thailand";"THA";"East Asia";"EA";
"Timor-Leste";"TLS";"East Asia";"EA";
"Togo";"TGO";"Africa";"AF";
"Tokelau";"TKL";"Oceania";"OZ";"NZL"
"Tonga";"TON";"Oceania";"OZ";
"Trinidad and Tobago";"TTO";"Central America";"CA";
"Tunisia";"TUN";"Africa";"AF";
"Turkey";"TUR";"West Asia";"WA";
"Turkmenistan";"TKM";"West Asia";"WA";
"Turks and Caicos Islands";"TCA";"Central America";"CA";"GBR"
"Tuvalu";"TUV";"Oceania";"OZ";
"Uganda";"UGA";"Africa";"AF";
"Ukraine";"UKR";"Eastern Europe";"EE";
"United Arab Emirates";"ARE";"Middle East";"ME";
"United Kingdom";"GBR";"Western Europe";"WE";"GBR"
"United States";"USA";"North America";"NA";"USA"
"United States Minor Outlying Islands";"UMI";"Arctic Region";"AR";"USA"
"Uruguay";"URY";"South America";"SA";
"Uzbekistan";"UZB";"West Asia";"WA";
"Vanuatu";"VUT";"Oceania";"OZ";
"Venezuela";"VEN";"South America";"SA";
"Viet Nam";"VNM";"East Asia";"EA";
"Virgin Islands, British";"VGB";"Central America";"CA";"GBR"
"Virgin Islands, U.S.";"VIR";"Central America";"CA";"USA"
"Wallis and Futuna";"WLF";"Oceania";"OZ";"FRA"
"Western Sahara";"ESH";"Africa";"AF";
"Yemen";"YEM";"Middle East";"ME";
"Zambia";"ZMB";"Africa";"AF";
"Zimbabwe";"ZWE";"Africa";"AF";
